"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity"
"360771","nwis_05406500",2011-10-29,7.66748848798917,7.10501539175089,8.22894834670488,1.00124990841823,-6.12110155289288,-6.84188252211635,-5.38058706810245,9.09057343536217,8.20972845814488,9.98637165413579,8.04756944444444,1.12539802347917,139.436291666667,0.304086574487724
"360772","nwis_05406500",2011-10-30,4.02754444962281,3.52806996055462,4.5661704872984,0.999073372377611,-5.28737789293343,-6.11019596961269,-4.41386423232872,7.31542673603298,5.94532460679157,8.64712291370085,8.13576388888889,1.131494011375,81.0833333333333,0.304639902246392
"360773","nwis_05406500",2011-10-31,4.47560198356269,3.91174602468268,5.06536269897421,0.999295019064035,-5.94818895432389,-6.96532954482954,-4.98468918774386,9.74873435020548,8.20603112194065,11.357163606966,8.68611111111111,1.14673398111458,116.640125,0.305945311554232
"360774","nwis_05406500",2011-11-01,6.80851415407461,6.26438376154062,7.31481062760475,1.00061326978065,-6.19053382722177,-6.93893020523207,-5.46463455380612,7.72690638543802,6.90825889969738,8.64921021378177,9.24027777777778,1.16787329397917,118.538,0.30780800630598
"360775","nwis_05406500",2011-11-02,3.08639717143433,2.4971646450631,3.6687650381492,0.998623093958917,-8.26245167463039,-10.1401381991511,-6.52523174820443,9.48308927895192,7.40217374953674,11.6775683555237,9.43090277777778,1.36481303196875,41.944625,0.332496502017278
"360776","nwis_05406500",2011-11-05,5.57047358063824,5.04893319200649,6.1124994173895,1.00033152132222,-6.12570200300482,-6.93469286770671,-5.33304523441612,7.97637004864339,6.98555225680126,9.04866436256299,8.25833333333333,1.2040559318125,113.73125,0.310946993106677
"360777","nwis_05406500",2011-11-07,5.72887719426815,5.190212185198,6.23372496170117,1.00119900356752,-5.90684442306225,-6.67706010737877,-5.10300377251988,8.31353668719427,7.32372781660518,9.31742405979324,8.74618055555556,1.16679174773958,115.508916666667,0.307743716302362
"360778","nwis_05406500",2011-11-08,0.650455453111713,0.157061071406485,1.10427392447769,0.998281524437436,-5.82080174199298,-8.4268670007227,-3.31249161930808,6.94899850252182,3.93793738570621,9.93477335233828,8.00347222222222,1.6889819366875,30.585875,0.351155881945851
"360779","nwis_05406500",2011-11-09,0.535569376289826,0.11324358362616,0.949690413642018,1.00053126189213,-3.27595691605695,-6.24538991042379,-0.206156946356079,3.29467959345978,0.413010098499427,6.10704246016766,5.50555555555556,3.27157905235417,44.3810833333333,0.429229879198915
"360780","nwis_05406500",2011-11-10,1.74452752114978,1.32825235253959,2.16481017892646,1.00197758104392,-5.66355198164842,-7.28879355366345,-4.13422988408632,5.97400877180896,4.12781633396845,8.01788065714842,5.85729166666667,2.278326314875,57.8749166666667,0.383351736248412
