"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity","depth"
"487428","nwis_14211010",2008-12-13,1.3585199813082,0.485282105583406,2.2388241553009,0.999575279687902,1.22332056971633,-0.72361665957971,3.19235952740548,5.69115772655122,3.38591112477857,7.98912188912217,5.17916666666667,53.229773016875,22.0794166666667,1.07953931758268,1.20825472428962
"487429","nwis_14211010",2008-12-14,0.846183426817585,-0.0174630041240855,1.70336246843331,0.998700353840399,1.77612489654454,-0.158650992834751,3.74109871282928,5.47058147014214,2.986376952984,7.88852337763849,4.09583333333333,48.321519536875,26.381625,1.03469722623831,1.15997809662621
"487430","nwis_14211010",2008-12-15,1.70066412394279,0.832288180233153,2.56767345854716,0.998381198147959,1.05841059877011,-1.00570184563548,2.96195332766737,5.16726080482969,2.90944826492139,7.51652769802167,2.57083333333333,43.466360145,63.92675,0.987440513953193,1.10900362011499
"487431","nwis_14211010",2008-12-16,1.24339871139158,0.340708319575235,2.22114342900194,0.999514385830664,0.562041896983559,-1.43322304654454,2.51482261709849,4.34647205094924,2.11803405072311,6.74745727032204,2.01041666666667,40.050640475625,80.20075,0.952682336108687,1.07146013266379
"487432","nwis_14211010",2008-12-17,0.960118465363217,0.0309635801740585,1.85570381661667,0.998514528048392,0.619509257207623,-1.50095193633056,2.62453578430557,5.22009907782189,2.75254674186842,7.69235003029881,2.32083333333333,43.731830585625,26.3748333333333,0.989761837317002,1.11149879432682
"487433","nwis_14211010",2008-12-18,1.16782857988174,0.193363669676988,2.09653690702457,0.998468832401162,1.06900568679294,-0.859870935154631,3.13608233934076,5.20436284544035,2.73977699479939,7.66989620475836,2.5875,49.088434143125,24.3747083333333,1.04182944980906,1.16766071767497
"487434","nwis_14211010",2008-12-19,1.84318532561894,0.926112110738307,2.7671369101882,0.999546898089175,0.42906463762119,-1.50213479939847,2.43353522054908,4.92324670226605,2.69933426577021,7.13935369674941,2.73125,44.699322858125,62.0558333333333,0.999771836662487,1.12231600836171
"487435","nwis_14211010",2008-12-20,1.23137727471642,0.32166253291245,2.16166794578215,0.999675452245923,1.54858964607392,-0.383514590068418,3.4043597860973,5.09111145696352,2.66007711257045,7.47939368910221,1.64375,43.672837154375,42.258625,0.989629425709752,1.11137071989506
"487436","nwis_14211010",2008-12-21,0.298931521247011,-0.62701825675475,1.19144443722597,0.998792555683624,1.16427366459899,-0.77610111075231,3.24316678768365,5.02363028385358,2.4340682415883,7.53506224528051,0.829166666666667,41.808644726875,34.828375,0.970733706354945,1.09096333442536
"487437","nwis_14211010",2008-12-22,1.0887748246211,0.150353805937882,2.00465711035839,1.00052692073284,0.72318176914644,-1.30599348875107,2.62855167774746,4.62307737362192,2.16381843859052,7.09584624214727,0.183333333333333,44.545939936875,24.2407083333333,0.997381667376574,1.11970740641919
"487438","nwis_14211010",2008-12-23,1.27521188547796,0.34429613352582,2.17078861086176,0.999181701007838,0.501999711235364,-1.55701732143532,2.56899005680833,5.00307047342985,2.54791108833967,7.52507280862269,1.09166666666667,44.439751760625,45.9145,0.996943303919209,1.11925492309217
"487439","nwis_14211010",2008-12-24,0.450177710559421,-0.449410322635842,1.31374886498231,0.998808166082724,1.1137569477135,-0.8171924325007,3.11776755347892,5.38463805530736,3.04498851054869,7.68676560045316,1.45833333333333,44.693423515,29.8127916666667,0.999244119831734,1.12173121896522
"487440","nwis_14211010",2008-12-25,1.54038015752407,0.654370014925786,2.41110772414223,0.999433857828604,0.616223218479672,-1.0978943765867,2.35906528205444,5.53168029264774,3.13911169988042,7.88664201634539,1.75625,50.32139685625,27.0745833333333,1.05326839922068,1.17998149710166
